Plot ,Rank,Species,Height ,Year
LGMF_Ex,4,GRASS,54,2019
LGMF_OP,4,AMP,32,2019
HGMC_Ex,4,DES,101,2019
HGMC_OP,4,DES,47,2019
HGMB_Ex,4,DES,62,2019
HGMB_OP,4,CRY,64,2019
HGMA_Ex,4,AMP,78,2019
HGMA_OP,4,CRY,80,2019
HGMD_Ex,4,CRY,72,2019
HGMD_OP,4,WOOD,54,2019
HGMF_Ex,4,WOOD,92,2019
HGMF_OP,4,DES,70,2019
LGMA_Ex,4,AGE,94,2020
LGMA_OP,4,AGE,77,2020
LGMB_Ex,4,DES,46,2020
LGMB_OP,4,DES,59,2020
LGMC_Ex,4,AGE,83,2020
LGMC_OP,4,ASP,42,2020
LGMD_Ex,4,CIR,71,2020
LGMD_OP,4,AMP,0,2020
LGME_Ex,4,ASP,57,2020
LGME_OP,4,ASP,36,2020
LGMF_Ex,4,GOLD,47,2020
LGMF_OP,4,GOLD,32,2020
HGMC_Ex,4,WOOD,89,2020
HGMC_OP,4,CRY,45,2020
HGMB_Ex,4,GER,55,2020
HGMB_OP,4,ALL,71,2020
HGMA_Ex,4,GRASS,94,2020
HGMA_OP,4,CRY,65,2020
HGMD_Ex,4,PHR,71,2020
HGMD_OP,4,ALL,100,2020
HGMF_Ex,4,ALL,69,2020
HGMF_OP,4,ASH,47,2020
LGMA_Ex,4,DES,75,2021
LGMA_OP,4,AGE,69,2021
LGMB_Ex,4,DES,79,2021
LGMB_OP,4,DES,43,2021
LGMC_Ex,4,AGE,65,2021
LGMC_OP,4,DES,32,2021
LGMD_Ex,4,PAR,32,2021
LGMD_OP,4,DES,35,2021
LGME_Ex,4,CIR,43,2021
LGME_OP,4,RUB,38,2021
LGMF_Ex,4,GOLD,81,2021
LGMF_OP,4,DES,26,2021
HGMC_Ex,4,WOOD,85,2021
HGMC_OP,4,DES,36,2021
HGMB_Ex,4,DES,56,2021
HGMB_OP,4,ASH,50,2021
HGMA_Ex,4,GER,54,2021
HGMA_OP,4,CRY,47,2021
HGMD_Ex,4,GER,65,2021
HGMD_OP,4,JEWEL,33,2021
HGMF_Ex,4,CRY,63,2021
HGMF_OP,4,CRY,54,2021
LGMA_Ex,4,DES,32,2022
LGMA_OP,4,AGE,34,2022
LGMB_Ex,4,OSM,40,2022
LGMB_OP,4,BC,28,2022
LGMC_Ex,4,OSM,39,2022
LGMC_OP,4,DES,27,2022
LGMD_Ex,4,PAR,32,2022
LGMD_OP,4,DES,34,2022
LGME_Ex,4,DES,31,2022
LGME_OP,4,ASH,24,2022
LGMF_Ex,4,GOLD,40,2022
LGMF_OP,4,ASH,35,2022
HGMC_Ex,4,WOOD,73,2022
HGMC_OP,4,ALL,72,2022
HGMB_Ex,4,GEUM,37,2022
HGMB_OP,4,ASH,47,2022
HGMA_Ex,4,RUB,69,2022
HGMA_OP,4,PAR,27,2022
HGMD_Ex,4,GER,63,2022
HGMD_OP,4,CRY,18,2022
HGME_Ex,4,WOOD,74,2022
HGME_OP,4,DES,19,2022
HGMF_Ex,4,WOOD,56,2022
HGMF_OP,4,GER,35,2022
LGMA_Ex,5,DES,74,2019
LGMA_OP,5,AGE,71,2019
LGMB_Ex,5,RUB,44,2019
LGMB_OP,5,DES,32,2019
LGMC_Ex,5,AMP,46,2019
LGMC_OP,5,DES,40,2019
LGMD_Ex,5,CIR,40,2019
LGMD_OP,5,AMP,40,2019
LGME_Ex,5,DES,59,2019
LGME_OP,5,AMP,36,2019
LGMF_Ex,5,GOLD,62.5,2019
LGMF_OP,5,GER,31.5,2019
HGMC_Ex,5,WOOD,101,2019
HGMC_OP,5,PHR,46,2019
HGMB_Ex,5,CRY,52,2019
HGMB_OP,5,CRY,64,2019
HGMA_Ex,5,CIR,77,2019
HGMA_OP,5,RUB,46,2019
HGMD_Ex,5,ASH,70,2019
HGMD_OP,5,GRASS,53,2019
HGMF_Ex,5,GOLD,83,2019
HGMF_OP,5,PHR,58,2019
LGMA_Ex,5,AGE,86,2020
LGMA_OP,5,AGE,68,2020
LGMB_Ex,5,DES,38,2020
LGMB_OP,5,DES,45,2020
LGMC_Ex,5,AGE,72,2020
LGMC_OP,5,DES,38,2020
LGMD_Ex,5,DES,46,2020
LGMD_OP,5,AMP,0,2020
LGME_Ex,5,CIR,49,2020
LGME_OP,5,DES,25,2020
LGMF_Ex,5,GOLD,44,2020
LGMF_OP,5,CLEAR,29,2020
HGMC_Ex,5,DES,56,2020
HGMC_OP,5,CRY,42,2020
HGMB_Ex,5,DES,50,2020
HGMB_OP,5,ALL,55,2020
HGMA_Ex,5,CIR,80,2020
HGMA_OP,5,CRY,57,2020
HGMD_Ex,5,DES,65,2020
HGMD_OP,5,DES,46,2020
HGMF_Ex,5,ALL,69,2020
HGMF_OP,5,WOOD,46,2020
LGMA_Ex,5,DES,65,2021
LGMA_OP,5,AGE,69,2021
LGMB_Ex,5,ASP,52,2021
LGMB_OP,5,DES,40,2021
LGMC_Ex,5,GER,63,2021
LGMC_OP,5,DES,30,2021
LGMD_Ex,5,GER,29,2021
LGMD_OP,5,NA,NA,2021
LGME_Ex,5,CIR,42,2021
LGME_OP,5,DES,29,2021
LGMF_Ex,5,GOLD,56,2021
LGMF_OP,5,ALL,16,2021
HGMC_Ex,5,WOOD,79,2021
HGMC_OP,5,CRY,35,2021
HGMB_Ex,5,CIR,47,2021
HGMB_OP,5,ASH,46,2021
HGMA_Ex,5,GER,51,2021
HGMA_OP,5,DES,36,2021
HGMD_Ex,5,CRY,63,2021
HGMD_OP,5,DES,25,2021
HGMF_Ex,5,WOOD,63,2021
HGMF_OP,5,GRASS,51,2021
LGMA_Ex,5,DES,29,2022
LGMA_OP,5,AGE,33,2022
LGMB_Ex,5,RUB,33,2022
LGMB_OP,5,DES,27,2022
LGMC_Ex,5,AGE,31,2022
LGMC_OP,5,DES,23,2022
LGMD_Ex,5,PAR,29,2022
LGMD_OP,5,DES,22,2022
LGME_Ex,5,CIR,24,2022
LGME_OP,5,STICK,19,2022
LGMF_Ex,5,GOLD,39,2022
LGMF_OP,5,GER,33,2022
HGMC_Ex,5,WOOD,72,2022
HGMC_OP,5,ALL,70,2022
HGMB_Ex,5,PHR,36,2022
HGMB_OP,5,CRY,44,2022
HGMA_Ex,5,GER,54,2022
HGMA_OP,5,DES,26,2022
HGMD_Ex,5,GER,62,2022
HGMD_OP,5,AGE,17,2022
HGME_Ex,5,WOOD,73,2022
HGME_OP,5,WOOD,19,2022
HGMF_Ex,5,GER,54,2022
HGMF_OP,5,DES,33,2022
